Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM1380035,0.230693904522777,0,0.0837524163820589,0.112615408349782,0.00674354503019231,0,0,0,0.115344806061282,0,0.0339738718198495,0.0381671738228319,0.122700173100372,0,0,0.171031139017801,0,0,0.0849775618930521,0,0,0,0.959,-0.0364117645464884,1.11243132553075
GSM1380036,0.306499719707691,0,0.113014642297941,0.141965908927836,0,0,0,0,0.0482220350338089,0,0,0.0487677775455726,0.125145783423325,0,0,0.132863544257288,0,0.0109849950600041,0.0725355937465332,0,0,0,0.449,0.0401063003598392,1.10497764290936
GSM1380037,0.181835853888567,0,0.122986608136025,0.0752804887460845,0,0.0617030781301217,0,0,0,0,8.62368305298548e-05,0.0599638485377372,0.154901670993285,0.0583989224823476,0,0.131317443184829,0,0.0162175338984082,0.131259278765677,0,0.00604903640638728,0,0.925,-0.0249401275512197,1.10093045100464
GSM1380038,0,0,0.137420079456374,0.13289266654168,0,0.167691237946652,0,0,0,0,0.0472218134498981,0.094994222525277,0.155935446552343,0,0.0174942100828994,0.204449795157947,0,0,0.0419005282869303,0,0,0,0.953,-0.032406573546662,1.10345786154903
GSM1380039,0.210597031050009,0,0.0724181332928034,0.188853784354099,0.0279750907493668,0,0,0,0.0587826438749447,0,0.0249266466361638,0.0564313288662704,0.11769943639266,0,0,0.111818723411459,0,0.0124597115360343,0.11803746983619,0,0,0,0.928,-0.026061741321603,1.107077734723
GSM1380040,0.227441299630476,0,0.107306723258403,0.0354249286015607,0,0.0909957649906633,0,0,0.0750322206015701,0,0.020013026478318,0.0803181149348716,0.175618958447676,0.0873802910615608,0,0.00965119519955347,0,0,0.0908174767953475,0,0,0,0.914,-0.0229434478387419,1.1129141172052
GSM1380041,0.192352979379715,0,0.0526240261999041,0.0278950463021847,0,0.0602795697261075,0,0,0.0276210856465871,0,0.00846680309298816,0.0355408741444289,0.12042889379897,0.161467907858646,0,0.192222298829542,0,0.00380660601209992,0.050949404309697,0,0,0.0663445046991292,0.041,0.16073479462135,1.02706687518502
GSM1380042,0.149395279639934,0,0.117503523899822,0.107369011883613,0,0.00705496591443193,0,0.00308857892964672,0.0671588219869486,0,0.0254206769961738,0.0881253113415261,0.152136684434782,0,0,0.170864421159381,0,0,0.111882723813741,0,0,0,0.946,-0.0294583360127563,1.10332081231536
GSM1380043,0.197069532767678,0,0.0563341442200538,0.155824596057666,0,0,0,0,0.089041986363021,0,0.0524761827825459,0.00929290899084367,0.18011152396862,0,0,0.159772389138519,0,0.0215218142335612,0.078554921477492,0,0,0,0.983,-0.043312062347944,1.10331884837734
GSM1380044,0,0,0.11716140138117,0.17077491483396,0,0.0889815153621568,0,0,0.0335457411395001,0,0.0387212864571181,0.12092889609428,0.140951176139426,0,0,0.201635084565978,0,0.00211948675602076,0.0851804972703906,0,0,0,0.928,-0.0257724149899238,1.10309553176719
GSM1380045,0.189314253684752,0,0.0772032139124539,0.207193821520222,0.0153461643791103,0,0,0,0.0784789296685975,0,0.0208449027876149,0.0812544521957914,0.119986921726161,0.00371984616756587,0,0.0722721321470788,0,0.00341566506884628,0.130969696741805,0,0,0,0.891,-0.0182013407735787,1.10884292256315
